"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","API Tests","User Login","0","0","3","0","0"
"","User API","List users","0","0","1","0","0"
"","API Tests","Get Unknown Color Data","0","0","1","0","0"
"","API Tests","Get Non-Existent User Data","0","0","1","0","0"
"","API Tests","Get Single Unknown Color Data","0","0","1","0","0"
"","API Tests","Create User","0","0","1","0","0"
"","API Tests","User Registration","0","0","1","0","0"
"","User API","Get Single User","0","0","1","0","0"
"","API Tests","Update User Data","0","0","1","0","0"
"","API Tests","Delete User Data","0","0","1","0","0"
"","API Tests","Get Users List","0","0","1","0","0"
"","API Tests","Get Non-Existent Resource Data","0","0","1","0","0"
"","API Tests","Update User Data with PATCH","0","0","1","0","0"
