"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 15:13:30 AMT 2024","Mon Jul 15 15:13:30 AMT 2024","214","","test_login","","","","Test POST Request for Login with Missing Password",""
"passed","Mon Jul 15 15:13:30 AMT 2024","Mon Jul 15 15:13:30 AMT 2024","78","","test_get_user","TestUserAPI","","","Test retrieval of users list","Verify the list of users from the API response."
"passed","Mon Jul 15 15:13:29 AMT 2024","Mon Jul 15 15:13:29 AMT 2024","47","","test_get_resource","","","","Test Get Request for Colors",""
"passed","Mon Jul 15 15:13:30 AMT 2024","Mon Jul 15 15:13:30 AMT 2024","281","","test_get_user","","","","Test GET Request for Non-Existent User",""
"passed","Mon Jul 15 15:13:29 AMT 2024","Mon Jul 15 15:13:29 AMT 2024","31","","test_get_resource","","","","Test Get Request for Single Color",""
"passed","Mon Jul 15 15:13:31 AMT 2024","Mon Jul 15 15:13:31 AMT 2024","203","","test_post_create","","","","Test POST Request to Create User",""
"passed","Mon Jul 15 15:13:30 AMT 2024","Mon Jul 15 15:13:30 AMT 2024","210","","test_login","","","","Test POST Request for Successful User Login",""
"passed","Mon Jul 15 15:13:31 AMT 2024","Mon Jul 15 15:13:31 AMT 2024","234","","test_post_resgister","","","","Test POST Request for User Registration with Missing Password",""
"passed","Mon Jul 15 15:13:30 AMT 2024","Mon Jul 15 15:13:30 AMT 2024","47","","test_get_user","","","","Fetch Single User by ID",""
"passed","Mon Jul 15 15:13:31 AMT 2024","Mon Jul 15 15:13:32 AMT 2024","219","","test_put_update","","","","Test PUT Request to Update User",""
"passed","Mon Jul 15 15:13:26 AMT 2024","Mon Jul 15 15:13:26 AMT 2024","344","","test_delete","","","","Test DELETE Request to Remove User",""
"passed","Mon Jul 15 15:13:26 AMT 2024","Mon Jul 15 15:13:29 AMT 2024","3205","","test_get_delayed","","","","Test GET Request to Retrieve Users List",""
"passed","Mon Jul 15 15:13:29 AMT 2024","Mon Jul 15 15:13:30 AMT 2024","219","","test_get_resource","","","","Test GET Request for Non-Existent Resource",""
"passed","Mon Jul 15 15:13:31 AMT 2024","Mon Jul 15 15:13:31 AMT 2024","220","","test_post_resgister","","","","Test POST Request for User Login",""
"passed","Mon Jul 15 15:13:30 AMT 2024","Mon Jul 15 15:13:31 AMT 2024","234","","test_patch_update","","","","Test PATCH Request to Update User",""
